iter	Passed	Remaining
426	1901	2551
427	1904	2544
428	1906	2537
429	1908	2529
430	1910	2521
431	1912	2514
432	1914	2506
433	1915	2498
434	1917	2490
435	1920	2484
436	1922	2476
437	1924	2469
438	1926	2461
439	1927	2453
440	1930	2446
441	2110	2663
442	2112	2656
443	2116	2650
444	2123	2648
445	2130	2646
446	2133	2639
447	2152	2651
448	2157	2647
449	2163	2643
450	2222	2705
451	2226	2699
452	2229	2691
453	2232	2684
454	2234	2676
455	2238	2671
456	2257	2682
457	2260	2674
458	2262	2667
459	2271	2666
460	2273	2658
461	2297	2675
462	2308	2677
463	2311	2670
464	2315	2664
465	2318	2657
466	2322	2650
467	2325	2643
468	2328	2636
469	2334	2632
470	2336	2624
471	2341	2618
472	2356	2624
473	2358	2617
474	2361	2609
475	2375	2614
476	2378	2607
477	2383	2602
478	2395	2605
479	2398	2598
480	2405	2595
481	2408	2588
482	2427	2597
483	2430	2590
484	2437	2588
485	2442	2583
486	2444	2575
487	2449	2569
488	2451	2561
489	2457	2557
490	2459	2549
491	2465	2545
492	2468	2538
493	2470	2530
494	2488	2538
495	2495	2535
496	2497	2527
497	2501	2521
498	2503	2513
499	2513	2513
500	2516	2506
501	2519	2499
502	2522	2492
503	2529	2489
504	2532	2482
505	2535	2475
506	2546	2475
507	2548	2468
508	2551	2461
509	2554	2454
510	2566	2455
511	2577	2456
512	2580	2449
513	2582	2441
514	2588	2438
515	2591	2430
516	2595	2424
517	2598	2418
518	2608	2417
519	2610	2409
520	2612	2402
521	2620	2399
522	2624	2393
523	2626	2386
524	2629	2379
525	2635	2375
526	2639	2368
527	2642	2362
528	2645	2355
529	2650	2350
530	2653	2343
531	2656	2336
532	2658	2329
533	2668	2328
534	2670	2321
535	2673	2314
536	2675	2307
537	2678	2299
538	2683	2295
539	2686	2288
540	2689	2281
541	2691	2274
542	2696	2269
543	2699	2262
544	2701	2255
545	2706	2250
546	2711	2245
547	2715	2239
548	2718	2232
549	2720	2226
550	2723	2218
551	2731	2216
552	2733	2209
553	2735	2202
554	2738	2195
555	2743	2191
556	2746	2184
557	2749	2177
558	2751	2170
559	2754	2163
560	2762	2161
561	2765	2155
562	2767	2148
563	2778	2147
564	2781	2141
565	2791	2140
566	2794	2133
567	2796	2127
568	2799	2120
569	2802	2114
570	2808	2110
571	2810	2103
572	2813	2096
573	2816	2090
574	2827	2090
575	2830	2083
576	2844	2085
577	2847	2078
578	2849	2071
579	2856	2068
580	2859	2061
581	2861	2055
582	2863	2048
583	2866	2042
584	2869	2035
585	2872	2029
586	2874	2022
587	2877	2016
588	2884	2013
589	2887	2006
590	2889	1999
591	2892	1993
592	2900	1990
593	2902	1984
594	2905	1977
595	2907	1971
596	2914	1967
597	2916	1960
598	2919	1954
599	2921	1947
600	2923	1941
601	2929	1936
602	2932	1930
603	2937	1925
604	2939	1919
605	2945	1915
606	2948	1908
607	2950	1902
608	2953	1896
609	2955	1889
610	2961	1885
